Date,Name,Year,Letterboxd URI,Rating
2023-02-26,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3
2023-02-26,The Platform,2019,https://boxd.it/mUm6,4
2023-02-26,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3.5
2023-02-26,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3
2023-02-26,Superbad,2007,https://boxd.it/20hO,4
2023-02-26,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,3.5
2023-02-26,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,3.5
2023-02-26,See How They Run,2022,https://boxd.it/sNVq,3.5
2023-02-26,Operation Mincemeat,2021,https://boxd.it/oAY4,3
2023-02-26,Morbius,2022,https://boxd.it/j978,1
2023-02-27,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-02-27,Catch Me If You Can,2002,https://boxd.it/29VS,4
2023-02-28,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,4.5
2023-02-28,Cocaine Bear,2023,https://boxd.it/ugw2,2
2023-02-28,Whiplash,2014,https://boxd.it/7bQA,5
2023-02-28,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2023-03-01,Back to the Future,1985,https://boxd.it/2b8e,4.5
2023-03-01,Coco,2017,https://boxd.it/bYJQ,4
2023-03-01,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,4
2023-06-27,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-06-27,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,4.5
2023-07-21,Palm Springs,2020,https://boxd.it/lCXQ,4
2023-07-22,Oppenheimer,2023,https://boxd.it/wUow,5
2023-07-22,Parasite,2019,https://boxd.it/hTha,5
2023-09-04,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,4.5
2023-09-04,The Equalizer 3,2023,https://boxd.it/yU54,3.5
2023-10-24,Top Gun: Maverick,2022,https://boxd.it/cjr4,4.5
2023-10-24,Coraline,2009,https://boxd.it/1NhQ,4
2023-10-24,Blade Runner,1982,https://boxd.it/2bcA,5
2023-11-28,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2023-11-28,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,3.5
2023-11-28,The Hunger Games,2012,https://boxd.it/2uds,3
2023-11-28,Little Women,2019,https://boxd.it/aSVk,4.5
2024-01-09,Ferrari,2023,https://boxd.it/cEtq,3.5
2024-01-09,The Boy and the Heron,2023,https://boxd.it/ipeM,4.5
2024-02-16,Gone Girl,2014,https://boxd.it/6hQu,4
2024-02-19,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,3.5
2024-02-19,The Flash,2023,https://boxd.it/9twC,2.5
2024-02-19,Violent Night,2022,https://boxd.it/xXBA,2
2024-02-19,Bullet Train,2022,https://boxd.it/qW26,4
2024-02-22,Interstellar,2014,https://boxd.it/4VZ8,5
2024-03-01,Dune,2021,https://boxd.it/fA7G,4
2024-03-01,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-03-04,The Revenant,2015,https://boxd.it/8H5e,3.5
2024-04-10,Scoop,2024,https://boxd.it/EZu6,3
2024-05-01,Civil War,2024,https://boxd.it/z1jW,4
2024-05-01,Spiderhead,2022,https://boxd.it/mLsO,3
2024-05-08,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2024-05-10,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,4
2024-05-10,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,4.5
2024-05-10,War for the Planet of the Apes,2017,https://boxd.it/8FE2,4
2024-06-12,Bad Boys: Ride or Die,2024,https://boxd.it/l3Ki,3
2024-07-25,Despicable Me 4,2024,https://boxd.it/iOLG,2.5
2024-07-25,A Quiet Place: Day One,2024,https://boxd.it/sDAi,3.5
2024-07-25,Arrival,2016,https://boxd.it/aNGk,5
2024-07-25,Planet of the Apes,1968,https://boxd.it/29p8,4.5
2024-08-30,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3.5
2024-08-30,The Prestige,2006,https://boxd.it/293w,4.5
2024-09-26,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2024-09-26,Zodiac,2007,https://boxd.it/27MO,4.5
2024-09-26,Se7en,1995,https://boxd.it/29zs,5
2024-10-14,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2024-10-22,The Nice Guys,2016,https://boxd.it/94Hg,4.5
2024-10-30,Scream,1996,https://boxd.it/24EC,4
2025-01-09,Better Man,2024,https://boxd.it/u6t8,3.5
2025-01-09,Carry-On,2024,https://boxd.it/C0B2,3
2025-01-09,Gladiator II,2024,https://boxd.it/kqQQ,4
2025-01-10,Snowpiercer,2013,https://boxd.it/3Icg,4
2025-01-22,A Real Pain,2024,https://boxd.it/CjNG,4.5
2025-01-22,Nosferatu,2024,https://boxd.it/f5eG,3.5
2025-01-22,Wicked,2024,https://boxd.it/e8ME,3.5
2025-01-22,Heretic,2024,https://boxd.it/H1lY,3
2025-01-22,The Day After Tomorrow,2004,https://boxd.it/2aog,3
2025-01-29,Jurassic World,2015,https://boxd.it/4n0g,3
2025-01-29,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2.5
2025-01-29,Jurassic Park,1993,https://boxd.it/2aA2,4
2025-01-29,Jurassic World Dominion,2022,https://boxd.it/ikXW,2
2025-02-07,Companion,2025,https://boxd.it/F04o,4
2025-03-11,Mickey 17,2025,https://boxd.it/q1Dk,3.5
2025-03-11,The Monkey,2025,https://boxd.it/Gwiu,2
2025-04-22,A Minecraft Movie,2025,https://boxd.it/zRro,2
2025-06-03,The Killer,2023,https://boxd.it/u6WE,3
2025-06-03,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,4
2025-06-29,F1,2025,https://boxd.it/yjVM,4
2025-06-29,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,2.5
2025-06-29,Star Wars,1977,https://boxd.it/72s,3.5
2025-07-23,Beautiful Boy,2018,https://boxd.it/g76Q,4.5
2025-08-01,Sirens,2025,https://boxd.it/VgYk,3
2025-08-01,UNTAMED,2025,https://boxd.it/Wj5E,3
2025-08-01,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a,4
2025-08-21,The Fantastic Four: First Steps,2025,https://boxd.it/mP6C,3.5
2025-09-06,The Thursday Murder Club,2025,https://boxd.it/rXju,3
2025-09-06,Woman of the Hour,2023,https://boxd.it/vuz2,3
2025-09-06,Pitch Perfect,2012,https://boxd.it/3OsE,3
2025-09-06,Pitch Perfect 2,2015,https://boxd.it/7tNa,2.5
2025-09-06,Pitch Perfect 3,2017,https://boxd.it/bUre,2
2025-09-06,War of the Worlds,2005,https://boxd.it/2bde,3.5
2025-09-06,Unknown Number: The High School Catfish,2025,https://boxd.it/WtQq,2.5
2025-09-06,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4.5
2025-09-06,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2025-09-06,Obi-Wan Kenobi,2022,https://boxd.it/yLBA,3
2025-09-10,Get Smart,2008,https://boxd.it/1Tig,2.5
2025-09-10,World War Z,2013,https://boxd.it/2p2E,3
2025-09-10,Akira,1988,https://boxd.it/2b1i,5
2025-09-24,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,4
2025-09-24,Yes Man,2008,https://boxd.it/1WPW,3.5
2025-09-24,Groundhog Day,1993,https://boxd.it/2b3e,4
2025-09-24,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,3
2025-09-24,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/O1GQ,4
2025-09-24,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,3
2025-09-25,Weapons,2025,https://boxd.it/EMTM,4
2025-09-28,One Battle After Another,2025,https://boxd.it/DUHM,4.5
2025-09-28,Wedding Crashers,2005,https://boxd.it/1Yte,2.5
2025-09-30,The Naked Gun,2025,https://boxd.it/Da9k,3.5
2025-09-30,Yesterday,2019,https://boxd.it/iF7M,3.5
2025-09-30,La La Land,2016,https://boxd.it/a5fa,5
2025-09-30,Superman,2025,https://boxd.it/E9IU,4.5
2025-09-30,Bones and All,2022,https://boxd.it/tLd4,3.5
2025-09-30,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2025-09-30,Joker,2019,https://boxd.it/h4cS,3.5
2025-09-30,Barbie,2023,https://boxd.it/bCLK,3.5
2025-10-02,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2025-10-02,American History X,1998,https://boxd.it/2bdo,4
2025-10-06,Cars 2,2011,https://boxd.it/H4Y,3
